Maria	368464	vrouwelijke voornaam
Johanna	290068	vrouwelijke voornaam
Anna	147916	vrouwelijke voornaam
Cornelia	122667	vrouwelijke voornaam
Elisabeth	119141	vrouwelijke voornaam
Wilhelmina	106938	vrouwelijke voornaam
Catharina	92524	vrouwelijke voornaam
Hendrika	78375	vrouwelijke voornaam
Adriana	75620	vrouwelijke voornaam
Petronella	74301	vrouwelijke voornaam
Margaretha	49802	vrouwelijke voornaam
Jacoba	46960	vrouwelijke voornaam
Yvonne	45304	vrouwelijke voornaam
Helena	44082	vrouwelijke voornaam
Geertruida	43425	vrouwelijke voornaam
Monique	40930	vrouwelijke voornaam
Antonia	34823	vrouwelijke voornaam
Esther	34339	vrouwelijke voornaam
Ingrid	34065	vrouwelijke voornaam
Christina	33409	vrouwelijke voornaam
Elizabeth	31760	vrouwelijke voornaam
Linda	31262	vrouwelijke voornaam
Theodora	30811	vrouwelijke voornaam
Aaltje	29781	vrouwelijke voornaam
Sandra	29779	vrouwelijke voornaam
Anne	29627	vrouwelijke voornaam
Grietje	28147	vrouwelijke voornaam
Alida	28073	vrouwelijke voornaam
Marianne	26252	vrouwelijke voornaam
Laura	26009	vrouwelijke voornaam
Kim	26006	vrouwelijke voornaam
Sanne	25600	vrouwelijke voornaam
Jantje	24929	vrouwelijke voornaam
Trijntje	24548	vrouwelijke voornaam
Jolanda	24145	vrouwelijke voornaam
Karin	24144	vrouwelijke voornaam
Jacqueline	23064	vrouwelijke voornaam
Neeltje	23044	vrouwelijke voornaam
Geertje	22476	vrouwelijke voornaam
Iris	22324	vrouwelijke voornaam
Janna	21635	vrouwelijke voornaam
Astrid	21570	vrouwelijke voornaam
Saskia	21350	vrouwelijke voornaam
Bianca	21103	vrouwelijke voornaam
Eva	20871	vrouwelijke voornaam
Patricia	20834	vrouwelijke voornaam
Antje	20601	vrouwelijke voornaam
Chantal	20343	vrouwelijke voornaam
Judith	20077	vrouwelijke voornaam
Petra	20037	vrouwelijke voornaam
Wendy	19992	vrouwelijke voornaam
Maaike	19679	vrouwelijke voornaam
Daniëlle	19609	vrouwelijke voornaam
Lisa	19380	vrouwelijke voornaam
Nicole	18881	vrouwelijke voornaam
Francisca	18564	vrouwelijke voornaam
Anouk	18548	vrouwelijke voornaam
Willemina	18530	vrouwelijke voornaam
Jannetje	18512	vrouwelijke voornaam
Gerarda	18457	vrouwelijke voornaam
Ellen	18043	vrouwelijke voornaam
Sylvia	17883	vrouwelijke voornaam
Anita	17664	vrouwelijke voornaam
Joyce	17379	vrouwelijke voornaam
Pieternella	17302	vrouwelijke voornaam
Emma	17044	vrouwelijke voornaam
Miranda	16967	vrouwelijke voornaam
Femke	16887	vrouwelijke voornaam
Martina	16828	vrouwelijke voornaam
Marijke	16621	vrouwelijke voornaam
Louise	16567	vrouwelijke voornaam
Ilse	16564	vrouwelijke voornaam
Suzanne	16473	vrouwelijke voornaam
Marieke	16452	vrouwelijke voornaam
Henrica	16378	vrouwelijke voornaam
Simone	16322	vrouwelijke voornaam
Josephina	16235	vrouwelijke voornaam
Irene	16077	vrouwelijke voornaam
Hendrikje	15662	vrouwelijke voornaam
Lotte	15628	vrouwelijke voornaam
Mirjam	15488	vrouwelijke voornaam
Charlotte	15325	vrouwelijke voornaam
Maartje	15081	vrouwelijke voornaam
Inge	14823	vrouwelijke voornaam
Julia	14796	vrouwelijke voornaam
Gerritje	14758	vrouwelijke voornaam
Carolina	14685	vrouwelijke voornaam
Michelle	14616	vrouwelijke voornaam
Agnes	14550	vrouwelijke voornaam
Claudia	14540	vrouwelijke voornaam
Marie	14540	vrouwelijke voornaam
Theresia	14160	vrouwelijke voornaam
Tessa	14068	vrouwelijke voornaam
Barbara	14025	vrouwelijke voornaam
Dirkje	13813	vrouwelijke voornaam
Martha	13806	vrouwelijke voornaam
Marjolein	13785	vrouwelijke voornaam
Gerda	13768	vrouwelijke voornaam
Hermina	13702	vrouwelijke voornaam
Jessica	13307	vrouwelijke voornaam
Sonja	13055	vrouwelijke voornaam
